capability,status,level,evidence,next_gate
geometry_basic_objects,PASS,4,"Дни 40-41: точка прямая отрезок и луч различаются; обозначения и рисунки выполнены верно",поддерживать правильные обозначения внутри новых доказательных задач
geometry_axiomatic_language,NEW,0,"определение аксиома теорема свойство признак и доказательство ещё не диагностировались как разные роли",разобрать формулировку на условие и заключение и отличить определение от доказываемого утверждения
geometry_angle_measurement,PASS,4,"Дни 46-50: величины углов и дополнение до \(180^\circ\) устойчиво использовались в смешанных задачах",поддерживать внутри задач с несколькими зависимостями
geometry_adjacent_vertical_angles,PASS,4,"День 66: одно уравнение дало углы \(54^\circ\) и \(126^\circ\); названы сумма смежных углов и вертикальность а зависимость перенесена на произвольный угол",поддерживать причинную цепочку внутри более сложных геометрических конфигураций
geometry_polygons_symmetry,NEW,0,"ломаные выпуклые и невыпуклые многоугольники равенство фигур и осевая симметрия ещё не диагностировались",классифицировать фигуру обосновать выпуклость и использовать ось симметрии в рассуждении
geometry_triangle_elements,NEW,0,"медиана биссектриса высота и их свойства ещё не диагностировались",построить и различить три элемента треугольника и использовать один из них в доказательстве
geometry_congruence_isosceles,NEW,0,"три признака равенства треугольников и доказательства свойств равнобедренного треугольника ещё не диагностировались",выбрать признак равенства и провести полное доказательство равенства отрезков или углов
geometry_parallel_lines,NEW,0,"постулат Евклида свойства и признаки параллельных прямых ещё не диагностировались",по углам доказать параллельность прямых и решить обратную задачу
geometry_polygon_angle_sums,NEW,0,"суммы внутренних и внешних углов треугольника и выпуклого многоугольника ещё не диагностировались",вывести формулу суммы углов многоугольника разбиением на треугольники и применить её
geometry_right_triangles,NEW,0,"признаки равенства прямоугольных треугольников медиана к гипотенузе и треугольник с углом \(30^\circ\) ещё не диагностировались",выбрать специальное свойство прямоугольного треугольника и доказать требуемое отношение
geometry_triangle_inequalities,NEW,0,"связь сторон и углов неравенство треугольника и сравнение перпендикуляра с наклонной ещё не диагностировались",доказать невозможность конфигурации или оценить неизвестную длину через геометрическое неравенство
geometry_circle_tangents,NEW,0,"элементы окружности взаимное расположение прямой и окружности касательная и секущая ещё не диагностировались",использовать свойства радиуса хорды и касательной в полном доказательстве
geometry_loci,NEW,0,"геометрическое место точек серединный перпендикуляр и биссектриса как места точек ещё не диагностировались",сформулировать прямое и обратное свойства места точек и найти центр описанной окружности
geometry_compass_straightedge,NEW,0,"этапы задач на построение и обоснование построений циркулем и линейкой ещё не диагностировались",выполнить построение затем отдельно дать доказательство и исследование числа решений
