domain,sequence,unit,hours,capabilities
algebra,1,Рациональные числа и практические задачи,11,signed_arithmetic;rational_number_line_module;ratios_proportions_percent;word_problems_table
algebra,2,Координаты графики и понятие функции,17,coordinate_intervals_distance;function_concept_graph_analysis
algebra,3,Выражения с переменными и формулы,7,variable_meaning;identity_proof
algebra,4,Линейные уравнения с одной переменной,10,equations_one_root;equations_fraction_decimal_answers;special_equations;absolute_value_equations
algebra,5,Степень с натуральным показателем,6,powers_monomials
algebra,6,Одночлены и многочлены,23,like_terms_integer;like_terms_decimal;parentheses_positive;parentheses_negative;binomial_multiplication;polynomial_structure_operations
algebra,7,Формулы сокращённого умножения и разложение,14,square_of_sum;factor_common_monomial;factorization_special_products;identity_proof
algebra,8,Делимость и арифметика остатков,10,divisibility_primes_criteria;gcd_lcm_euclid;remainders_arithmetic
algebra,9,Линейная функция и специальные графики,16,linear_function_abs_piecewise;function_concept_graph_analysis
algebra,10,Уравнения с двумя переменными и системы,14,linear_systems
algebra,11,Повторение и смешанный перенос,8,mixed_transfer;reasoning_generalization;substitution_check
geometry,1,Начала геометрии и измерения,28,geometry_basic_objects;geometry_axiomatic_language;geometry_angle_measurement;geometry_adjacent_vertical_angles;geometry_polygons_symmetry
geometry,2,Треугольники и равенство,19,geometry_triangle_elements;geometry_congruence_isosceles;geometry_polygons_symmetry
geometry,3,Параллельность и суммы углов,15,geometry_parallel_lines;geometry_polygon_angle_sums
geometry,4,Прямоугольные треугольники,7,geometry_right_triangles
geometry,5,Геометрические неравенства,5,geometry_triangle_inequalities
geometry,6,Окружность места точек и построения,18,geometry_circle_tangents;geometry_loci;geometry_compass_straightedge
geometry,7,Повторение и доказательный перенос,10,geometry_axiomatic_language;geometry_congruence_isosceles;geometry_parallel_lines;geometry_triangle_inequalities
probability_statistics,1,Представление данных,4,data_tables_diagrams
probability_statistics,2,Описательная статистика,8,statistical_measures;advanced_statistical_measures
probability_statistics,3,Случайная изменчивость,5,random_variability_grouping;relative_frequency
probability_statistics,4,Введение в теорию графов,4,graph_models;graph_path_enumeration
probability_statistics,5,Логика,3,logic_statements
probability_statistics,6,Вероятность и частота случайного события,5,random_experiment_outcomes;relative_frequency;classical_probability
probability_statistics,7,Повторение и систематизация,5,data_tables_diagrams;statistical_measures;graph_models;logic_statements;random_experiment_outcomes
